places_id,place_name,description,country,city,popular_attractions,best_time_to_visit,image_url
1,Shaniwar Wada,"Shaniwar Wada is an 18th-century palace fort in Pune, known for its historical significance and architectural grandeur.",india,pune,"Light and Sound Show, Historical Fort Ruins",October to March,https://www.shutterstock.com/search/shaniwar-wada
2,Aga Khan Palace,"Aga Khan Palace is a historical landmark in Pune, built in 1892, which played a significant role during the Indian freedom movement",india,pune,"Mahatma Gandhi Memorial, Beautiful Gardens",November to February,https://www.shutterstock.com/search/aga-khan-palace
3,Sinhagad Fort,"Sinhagad Fort, perched on a hill, is a historic fort known for its role in the Maratha Empire and offers stunning views of the surrounding landscape.",india,pune,"Trekking, Historical Fort Ruins, Scenic Views",June to February,https://www.shutterstock.com/search/sinhagad-fort
4,Dagdusheth Halwai Ganapati Temple,"Dagdusheth Halwai Ganapati Temple is one of the most famous and revered temples in Pune, dedicated to Lord Ganesha.",india,pune,"Ganesh Festival, Temple Architecture",August to September (Ganesh Festival),https://www.shutterstock.com/search/dagdusheth-halwai-ganapati-temple
5,Raja Dinkar Kelkar Museum,"Raja Dinkar Kelkar Museum houses a vast collection of Indian artifacts and art pieces, showcasing the rich cultural heritage of India",india,pune,"Artifacts, Musical Instruments, Sculptures",October to March,https://www.shutterstock.com/search/raja-dinkar-kelkar-museum
6,Kyoto Imperial,Historic palace and former residence of the Japanese Imperial Family,Japan,Kyoto,"Kinkaku-ji, Fushimi Inari Taisha, Arashiyama",March to May,https://www.shutterstock.com/search/kyoto-imperial
7,Statue of Liberty,An iconic symbol of freedom and democracy,USA,New York,"Statue of Liberty, Ellis Island, Times Square",September to November,https://www.shutterstock.com/search/statue-of-liberty
8,Grand Canyon,A stunning natural formation carved by the Colorado River,USA,Arizona,"South Rim, North Rim, Havasu Falls	",March to May,https://www.shutterstock.com/search/grand-canyon
9,Mount Fuji,"Japan’s tallest mountain and a UNESCO World Heritage site	",Japan,Shizuoka,"Mount Fuji, Chureito Pagoda, Lake Kawaguchi",July to September,https://www.shutterstock.com/search/mount-fuji
10,Gateway of India,A monumental archway symbolizing British colonial history,India,Mumbai,"Gateway of India, Marine Drive, Elephanta Caves",November to February,https://www.shutterstock.com/search/gateway-of-india
11,Golden Gate Bridge,A suspension bridge and one of the most recognized symbols of the USA,USA,San Francisco,"Golden Gate Bridge, Alcatraz Island, Fisherman’s Wharf",September to November,https://www.shutterstock.com/search/golden-gate-bridge
12,Akihabara,A bustling shopping district known for electronics and anime,Japan,Tokyo,"Akihabara Electric Town, Tokyo Skytree, Ueno Park",March to May,https://www.shutterstock.com/search/akihabara
13,Mysore Palace,A stunning royal residence with intricate architecture,India,Mysore,"Mysore Palace, Brindavan Gardens, Chamundi Hill",October to February,https://www.shutterstock.com/search/mysore-palace
14,Yosemite National,A famous national park known for its granite cliffs and waterfalls,USA,California,"Yosemite Valley, Half Dome, El Capitan",May to October,https://www.shutterstock.com/search/yosemite-national
15,Nara Park,A park famous for its friendly deer and ancient temples,Japan,Nara,"Todaiji Temple, Kasuga Taisha, Nara Deer Park",April to October,https://www.shutterstock.com/search/nara-park
16,Amer Fort,A beautiful hilltop fort with a blend of Hindu and Mughal architecture,India,Jaipur,"Amer Fort, Hawa Mahal, Jantar Mantar",October to March,https://www.shutterstock.com/search/amer-fort
17,Yellowstone NP,"The first national park in the USA, known for geothermal features like Old Faithful",USA,Wyoming,"Old Faithful, Grand Prismatic Spring, Mammoth Hot Springs",June to September,https://www.shutterstock.com/search/yellowstone-np
18,Hiroshima Peace,A memorial site dedicated to the victims of the atomic bomb,Japan,Hiroshima,"Peace Memorial Park, Atomic Bomb Dome, Hiroshima Castle",March to May,https://www.shutterstock.com/search/hiroshima-peace
19,Kerala Backwaters,"A network of lagoons, lakes, and canals offering tranquil houseboat experiences",India,Kerala,"Alleppey Backwaters, Kumarakom Bird Sanctuary",September to March,https://www.shutterstock.com/search/kerala-backwaters
20,Central Park,A large urban park offering a peaceful escape in the heart of New York City,USA,New York,"Central Park, Metropolitan Museum of Art, The Guggenheim",April to June,https://www.shutterstock.com/search/central-park
21,Gion District,A famous geisha district known for traditional tea houses,Japan,Kyoto,"Gion Corner, Hanami-koji Street, Yasaka Shrine",March to May,https://www.shutterstock.com/search/gion-district
22,Hollywood,"The center of the American film industry, famous for the Walk of Fame",USA,Los Angeles,"Hollywood Walk of Fame, Universal Studios, Griffith Observatory",March to May,https://www.shutterstock.com/search/hollywood
